"1","POL S","1020","001","Lecture","30","Political Ideologies","MWF","1150 AM1240 PM","OSH 202","HF","GARROTT L J","1004"
"2","POL S","1020","070","Lecture","30","Political Ideologies","MW","0830 AM1000 AM","SANDY ","DCE HF","PINGREE W H","1004"
"3","POL S","1100","001","Lecture","30","US National Govt","MWF","0730 AM0820 AM","OSH 175","AI","JONES D E","1004"
"4","POL S","1100","002","Lecture","30","US National Govt","MWF","0835 AM0925 AM","OSH 202","AI","JONES D E","1004"
"5","POL S","1100","003","Lecture","30","US National Govt","TH","0910 AM1030 AM","OSH 202","AI","CHRISTENSEN M E","1004"
"6","POL S","1100","004","Lecture","30","US National Govt","MWF","1045 AM1135 AM","OSH 202","AI","WILSON T L","1004"
"7","POL S","1100","005","Lecture","30","US National Govt","TH","1045 AM1205 PM","FAMB 102","AI","SCHWARTZSHEA P","1004"
"8","POL S","1100","006","Lecture","30","US National Govt","MW","0600 PM0730 PM","OSH 113","AI","BENEDICT R C","1004"
"9","POL S","1100","020","Lecture","30","US National Govt","S","0900 AM1200 PM","BOUNTIFUL ","AI DCE","CHRISTENSEN M E","1004"
"10","POL S","1100","070","Lecture","30","US National Govt","TH","1015 AM1145 AM","SANDY ","AI DCE","GOODMAN D","1004"
"11","POL S","2100","001","Lecture","30","Intro Intntl Relation","MWF","0940 AM1030 AM","FINE A AUD ","BF","HARB I","1004"
"12","POL S","2100","002","Lecture","30","Intro Intntl Relation","T","0600 PM0900 PM","OSH 133","BF","RIEBER R A","1004"
"13","POL S","2200","001","Lecture","30","Intr Comparatv Politics","TH","1045 AM1205 PM","ARCH 127","BF","CASTLE M","1004"
"14","POL S","2200","002","Lecture","30","Intr Comparatv Politics","MW","0630 PM0800 PM","OSH 134","BF","FOGLESONG T","1004"
"15","POL S","2200","020","Lecture","30","Intr Comparatv Politics","F","0830 AM1130 AM","BOUNTIFUL ","BF DCE","MCGEE D","1004"
"16","POL S","3001","001","Lecture","30","Political Analysis","MWF","1045 AM1135 AM","OSH 107","QBQI","TURNER R","1004"
"17","POL S","3001","002","Lecture","30","Political Analysis","MW","0600 PM0730 PM","OSH 136","QBQI","MCGEE D","1004"
"18","POL S","3010","001","Lecture","30","Democratic Theory","MWF","0940 AM1030 AM","OSH 104","CW","GARROTT L J","1004"
"19","POL S","3030","001","Lecture","30","State/Local Gov","TH","1045 AM1205 PM","MBH 113","","HOLLAND L H","1004"
"20","POL S","3340","001","Lecture","30","Diversity/Workplace","T","0600 PM0900 PM","OSH 232","DV","KILLIAN J S","1004"
"21","POL S","3380","001","Lecture","30","Politics  Budgets","TH","0910 AM1030 AM","BEH S 108","","ZUHL M B","1004"
"22","POL S","3410","001","Lecture","30","European Politics","TH","1045 AM1205 PM","MBH 114","","FRANCIS J G","1004"
"23","POL S","3430","001","Lecture","30","Politics Revoltn/Lat Am","MWF","0940 AM1030 AM","OSH 130","","EPSTEIN E C","1004"
"24","POL S","3460","001","Lecture","30","Govt/Politics Japan","MWF","0835 AM0925 AM","OSH 130","","HREBENAR R J","1004"
"25","POL S","3470","001","Lecture","30","Russ/PostSoviet Pol","TH","0910 AM1030 AM","MBH 105","","LUBOMUDROV S","1004"
"26","POL S","3620","001","Lecture","30","United Nations","M","0600 PM0900 PM","OSH 209","","RIEBER R A","1004"
"27","POL S","4790","095","Lecture","30","U S Constitution","U","1000 PM1159 PM","BOUNTIFUL ","DCE TEL","CHAMBLESS T M","1004"
"28","POL S","4790","096","Lecture","30","U S Constitution","U","1000 PM1159 PM","TBA","DCE TEL","CHAMBLESS T M","1004"
"29","POL S","4790","097","Lecture","30","U S Constitution","U","1000 PM1159 PM","CAMPUS ","DCE TEL","CHAMBLESS T M","1004"
"30","POL S","4790","098","Lecture","30","U S Constitution","U","1000 PM1159 PM","SANDY ","DCE TEL","CHAMBLESS T M","1004"
"31","POL S","4790","099","Lecture","30","U S Constitution","U","1000 PM1159 PM","PARK CITY ","DCE TEL","CHAMBLESS T M","1004"
"32","POL S","4844","001","Lecture","2030","Utah's Hlth Editorial Bd","TBA","TBA","TBA","","HUEFNER R P","1004"
"33","POL S","4950","001","Independent Study","1040","Undergrad Research","TBA","TBA","TBA","","OLSON S","1004"
"34","POL S","4960","001","Lecture","30","Poltic/Culturl Diversty","TH","1225 PM0145 PM","BEH S 111","","ABDELNOUR F","1004"
"35","POL S","4960","004","Lecture","1030","The Kotwara Project","W","0500 PM0630 PM","OSH 255","","WILSON T L","1004"
"36","POL S","4960","005","Lecture","1030","Model Arab League","F","1200 PM0100 PM","OSH 153","","KARAWAN I A","1004"
"37","POL S","4999","001","Honors Thesis Project","30","Honors Thesis/Project","TBA","TBA","TBA","CW HON","SCHWARTZSHEA P","1004"
"38","POL S","5001","001","Discussion","30","Quant AnalysisPol S","TH","1225 PM0145 PM","OSH 103","QI","BURBANK M J","1004"
"39","POL S","5010","001","Lecture","30","Pol Tht From Mach","TH","0910 AM1030 AM","BEH S 101","","ABDELNOUR F","1004"
"40","POL S","5100","001","Lecture","30","Adv Amer Natl Govt","T","0600 PM0900 PM","OSH 209","","BENEDICT R C","1004"
"41","POL S","5140","001","Lecture","30","Feminist Pol Theory","MWF","1045 AM1135 AM","OSH 113","","LYSHAUG B","1004"
"42","POL S","5300","001","Lecture","30","Administrative Theory","W","0600 PM0900 PM","OSH 137","","KILLIAN J S","1004"
"43","POL S","5322","001","Lecture","30","Environmental Policy","H","0600 PM0900 PM","OSH 233","","MCCOOL D C","1004"
"44","POL S","5380","001","Lecture","30","Pub Budget  Fin","T","0600 PM0900 PM","BEH S 105","","GOSLING J J","1004"
"45","POL S","5440","001","Lecture","30","Nation/Ethnc Conflict","TH","0640 PM0810 PM","OSH 208","","CASTLE M","1004"
"46","POL S","5470","001","Lecture","30","Intntl Relations Mid E","MWF","0835 AM0925 AM","OSH 104","","KARAWAN I A","1004"
"47","POL S","5480","001","Lecture","30","Interntl Rel East Asia","TH","1225 PM0145 PM","OSH 236","","TONG Y","1004"
"48","POL S","5520","001","Lecture","30","Law Enforcement Admin","M","0600 PM0900 PM","OSH 238","","KIRK P H","1004"
"49","POL S","5560","001","Lecture","30","Devel Revenue/Nonprofit","M","0600 PM0900 PM","OSH 208","","MIETCHEN M S","1004"
"50","POL S","5800","001","Lecture","30","Theory Intntl Relatns","MW","0910 AM1030 AM","MBH 111","","RIEBER R A","1004"
"51","POL S","5810","001","Seminar","40","Chinese Politics","TH","0940 AM1135 AM","MBH 102","CW","TONG Y","1004"
"52","POL S","5810","002","Seminar","40","International Security","MW","0940 AM1135 AM","OSH 135","CW","HAMPTON M N","1004"
"53","POL S","5810","003","Seminar","40","Comparatve Legal System","TH","1150 AM0145 PM","OSH 134","CW","FOGLESONG T","1004"
"54","POL S","5810","004","Seminar","40","Pol Theory/Cultural Dv","MW","0600 PM0740 PM","OSH 135","CW","DZUR A W","1004"
"55","POL S","5900","001","Clinical","20120","Political Internship","TBA","TBA","TBA","DCE","WILSON T L","1004"
"56","POL S","5901","001","Clinical","20120","Pol InternshipSL","TBA","TBA","TBA","DCE","WILSON T L","1004"
"57","POL S","5910","001","Clinical","3060","Public Admin Intern","TBA","TBA","TBA","DCE","OTT S","1004"
"58","POL S","5965","001","Lecture","30","Urban Political Issues","M","0400 PM0635 PM","OSH 111","","ROSS T A","1004"
"59","POL S","5965","002","Lecture","30","Sustainable Systems","H","0530 PM0800 PM","OSH 111","DCE","EMMI P C","1004"
"60","POL S","5967","001","Lecture","30","New Democracies","MWF","1045 AM1135 AM","BEH S 107","","EPSTEIN E C","1004"
"61","POL S","5967","002","Lecture","30","Postcommunist Democracy","MW","0630 PM0800 PM","OSH 252","","CASTLE M","1004"
"62","POL S","6001","001","Lecture","30","Quant AnalysisPol S","TH","1225 PM0145 PM","OSH 103","","BURBANK M J","1004"
