"2","1023","FCS","1400","001","Intro Consumer Policy","73","71","2",1400,1,"1004"
"4","13180","FCS","1400","002","Intro Consumer Policy","50","48","2",1400,2,"1004"
"6","1810","FCS","1500","001","Human Development","399","194","205",1500,1,"1004"
"8","8374","FCS","1500","002","Human Development","70","68","2",1500,2,"1004"
"10","1024","FCS","1600","001","Home Comm Environment","300","97","203",1600,1,"1004"
"12","12658","FCS","1600","002","Home Comm Environment","236","89","147",1600,2,"1004"
"14","7833","FCS","2400","001","Family Studies","200","162","38",2400,1,"1004"
"16","7836","FCS","2620","001","Child Dev Pract","45","24","21",2620,1,"1004"
"18","9633","FCS","2620","002","Child Dev Pract","40","21","19",2620,2,"1004"
"20","13052","FCS","3180","001","Home School Comm Relat","73","33","40",3180,1,"1004"
"22","****","FCS","3200","001","This class has been cancelled","0","0","0",3200,1,"1004"
"24","1026","FCS","3200","002","Research Meth-Fcs","70","50","20",3200,2,"1004"
"26","2656","FCS","3200","003","Research Meth-Fcs","56","53","3",3200,3,"1004"
"28","13051","FCS","3200","004","Research Meth-Fcs","48","33","15",3200,4,"1004"
"30","1027","FCS","3210","001","FCS Statistics","64","56","8",3210,1,"1004"
"32","4157","FCS","3210","002","FCS Statistics","70","80","-10",3210,2,"1004"
"34","12486","FCS","3210","003","FCS Statistics","70","65","5",3210,3,"1004"
"36","1813","FCS","3220","001","Dev Inf & Early Child","65","66","-1",3220,1,"1004"
"38","13609","FCS","3220","002","Dev Inf & Early Child","45","12","33",3220,2,"1004"
"40","8375","FCS","3220","070","Dev Inf & Early Child","45","20","25",3220,70,"1004"
"42","7837","FCS","3240","001","Ecology Of Fam Beliefs","60","46","14",3240,1,"1004"
"44","11547","FCS","3270","001","Parent Child Relationsh","73","55","18",3270,1,"1004"
"46","12633","FCS","3270","002","Parent Child Relationsh","73","72","1",3270,2,"1004"
"48","1031","FCS","3290","001","Ethnic Min Families","53","47","6",3290,1,"1004"
"50","7851","FCS","3290","002","Ethnic Min Families","50","40","10",3290,2,"1004"
"52","11548","FCS","3420","001","Housing Policy & Issues","50","26","24",3420,1,"1004"
"54","11549","FCS","3430","001","Intro To Family Policy","60","62","-2",3430,1,"1004"
"56","11550","FCS","3430","002","Intro To Family Policy","60","46","14",3430,2,"1004"
