2,SOC,1010,1,Lecture,3,Intro To Sociology,"M,W,F",08:35 AM-09:25 AM,S BEH AUD .,BF,"LUND, D. A.",1004
3,SOC,1010,2,Lecture,3,Intro To Sociology,"M,W,F",12:55 PM-01:45 PM,SW 134,BF,"HAMILTON, B. E.",1004
4,SOC,1010,3,Lecture,3,Intro To Sociology,"M,W,F",07:30 AM-08:20 AM,BEH S 102,BF,"RIGBY, B. D.",1004
5,SOC,1010,10,Lecture,3,Intro To Sociology,H,06:30 PM-09:30 PM,BEH S 110,BF DCE,"TELFORD, T. A.",1004
6,SOC,1020,1,Lecture,3,Social Problems,"M,W,F",10:45 AM-11:35 AM,BEH S 116,BF,"HAMILTON, B. E.",1004
7,SOC,1020,2,Lecture,3,Social Problems,"T,H",07:30 AM-08:50 AM,BEH S 101,BF,"WILLIGAN, J. D.",1004
8,SOC,1020,3,Lecture,3,Social Problems,"T,H",10:45 AM-12:05 PM,BEH S 115,BF,"WILLIGAN, J. D.",1004
9,SOC,3020,1,Lecture,3,Social Psychology,"M,W,F",08:35 AM-09:25 AM,BEH S 102,,"GILLESPIE, D. L.",1004
10,SOC,3020,2,Lecture,3,Social Psychology,"M,W,F",10:45 AM-11:35 AM,BEH S 115,,"GILLESPIE, D. L.",1004
11,SOC,3020,3,Lecture,3,Social Psychology,"T,H",02:00 PM-03:20 PM,BEH S 102,,"WILLIGAN, J. D.",1004
13,SOC,3030,1,Lecture,3,Social Structure,"M,W,F",09:40 AM-10:30 AM,BEH S 101,,"GOODMAN, M. N.",1004
14,SOC,3030,2,Lecture,3,Social Structure,"T,H",09:10 AM-10:30 AM,BEH S 114,,"GUBIN, O. I.",1004
15,SOC,3030,10,Lecture,3,Social Structure,M,06:30 PM-09:30 PM,BEH S 115,DCE,"TELFORD, T. A.",1004
16,SOC,3111,1,Lecture,3,Research Methods,"M,W,F",08:35 AM-09:25 AM,BEH S 116,,"HAMILTON, B. E.",1004
17,SOC,3111,2,Lecture,3,Research Methods,"M,W,F",10:45 AM-11:35 AM,BEH S 102,,"MILLER, G. A.",1004
18,SOC,3112,1,Lecture,4,Social Statistics,"M,W,F",09:40 AM-10:30 AM,BEH S 109,QBQI,"KENTOR, J. D.JORGENSON, A. K.",1004
22,SOC,3112,2,Lecture,4,Social Statistics,"T,H",09:10 AM-10:30 AM,BEH S 102,QBQI,"KUO, W. H.JORGENSON, A. K.",1004
24,SOC,3112,3,Lecture,4,Social Statistics,"T,H",12:25 PM-01:45 PM,BEH S 114,QBQI,"DAVIS, B. L.JORGENSON, A. K.",1004
26,SOC,3112,10,Lecture,4,Social Statistics,T,06:30 PM-10:00 PM,BEH S 114,DCE QBQI,"CELINSKA, K.",1004
27,SOC,3112,70,Lecture,4,Social Statistics,H,06:30 PM-10:00 PM,SANDY .,DCE QBQI,"ALLEN, T. D.",1004
28,SOC,3140,1,Lecture,3,Social Theory,"T,H",10:45 AM-12:05 PM,BEH S 114,,"BURNS, T. J.",1004
29,SOC,3140,2,Lecture,3,Social Theory,"T,H",02:00 PM-03:20 PM,BEH S 101,,"BURNS, T. J.",1004
30,SOC,3140,20,Lecture,3,Social Theory,M,06:30 PM-09:30 PM,BOUNTIFUL .,DCE,"KEARIN, T.",1004
31,SOC,3334,1,Lecture,3,American Class System,"M,W,F",08:35 AM-09:25 AM,BU C 212,,"SHARDA, B. D.",1004
32,SOC,3337,1,Lecture,3,Sociology Of Gender,"M,W,F",11:50 AM-12:40 PM,BEH S 112,DVBI,"GOODMAN, M. N.",1004
34,SOC,3337,20,Lecture,3,Sociology Of Gender,W,06:30 PM-09:30 PM,BOUNTIFUL .,DCE DVBI,"GOODMAN, M. N.",1004
36,SOC,3341,1,Lecture,3,Social Inequality,"M,W,F",10:45 AM-11:35 AM,BEH S 101,,"SHARDA, B. D.",1004
37,SOC,3380,1,Lecture,3,Race/Ethncty/Cls/Gender,"M,W,F",09:40 AM-10:30 AM,BEH S 112,DV,"MARTINEZ, T. A.",1004
38,SOC,3382,1,Lecture,3,Gend Syst-Intntl Prsp,"M,W,F",12:55 PM-01:45 PM,BEH S 114,BI,"GILLESPIE, D. L.",1004
40,SOC,3422,1,Lecture,3,Collective Beh/Soc Mvmt,"T,H",12:25 PM-01:45 PM,BEH S 101,,"GUBIN, O. I.",1004
41,SOC,3431,20,Lecture,3,Social Change,T,06:30 PM-09:30 PM,BOUNTIFUL .,DCE,"KOSTUCHENKO, O. A.",1004
42,SOC,3433,1,Lecture,3,Formal Organizations,"M,W,F",12:55 PM-01:45 PM,BEH S 101,,"MILLER, G. A.",1004
43,SOC,3438,1,Lecture,3,Soc of Marriage & Fam,"M,W,F",02:00 PM-02:50 PM,AEB 320,,"KOWALESKI-JONES, L.",1004
46,SOC,3438,70,Lecture,3,Soc of Marriage & Fam,M,06:30 PM-09:30 PM,SANDY .,DCE,"KOSTUCHENKO, O. A.",1004
47,SOC,3471,20,Lecture,3,Soc Of Health,H,06:30 PM-09:30 PM,BOUNTIFUL .,DCE,"KEARIN, T.",1004
48,SOC,3471,50,Lecture,3,Soc Of Health,S,09:00 AM-12:00 PM,PARK CITY .,DCE,"SHELBY, J.",1004
49,SOC,3472,1,Lecture,3,Soc of Mental Health,"T,H",10:45 AM-12:05 PM,BEH S 101,,"COLLETTE, J. P.",1004
50,SOC,3473,1,Lecture,3,Social Epidemiology,"T,H",07:30 AM-08:50 AM,BEH S 115,QBQI,"COLLETTE, J. P.",1004
51,SOC,3473,2,Lecture,3,Social Epidemiology,"T,H",12:25 PM-01:45 PM,BEH S 110,QBQI,"COLLETTE, J. P.",1004
52,SOC,3474,1,Lecture,3,Mental Hlth Asian-Am,"T,H",12:25 PM-01:45 PM,BEH S 106,,"KUO, W. H.",1004
53,SOC,3560,1,Lecture,3,Deviant Beh/Soc Control,H,06:30 PM-09:30 PM,BEH S 114,DCE,"TYLER, D.",1004
54,SOC,3561,1,Lecture,3,Criminology,"T,H",07:30 AM-08:50 AM,BEH S 114,,"BENCH, L. L.",1004
55,SOC,3561,10,Lecture,3,Criminology,H,06:30 PM-09:30 PM,BEH S 101,DCE,"HOSSAIN, I.",1004
56,SOC,3562,1,Lecture,3,Juvenile Delinquency,"M,W,F",12:55 PM-01:45 PM,BEH S 112,,"MARTINEZ, T. A.",1004
57,SOC,3563,10,Lecture,3,Law Enf/Admin of Just,H,06:30 PM-09:30 PM,BEH S 116,DCE,"HINES, M. E.",1004
58,SOC,3563,70,Lecture,3,Law Enf/Admin of Just,T,06:30 PM-09:30 PM,SANDY .,DCE,"HOSSAIN, I.",1004
