"2","1276","ANTHR","1101","001","Culture & Human Exper","176","71","105",1101,1,"1004"
"4","1636","ANTHR","1101","002","Culture & Human Exper","48","39","9",1101,2,"1004"
"6","3140","ANTHR","1101","003","Culture & Human Exper","60","23","37",1101,3,"1004"
"8","6278","ANTHR","1101","004","Culture & Human Exper","56","9","47",1101,4,"1004"
"10","3142","ANTHR","1101","005","Culture & Human Exper","73","71","2",1101,5,"1004"
"12","****","ANTHR","1101","020","This class has been cancelled","0","0","0",1101,20,"1004"
"14","9948","ANTHR","1101","090","Culture & Human Exper","30","30","0",1101,90,"1004"
"16","1281","ANTHR","1201","001","Human Origin Evol/Diver","100","82","18",1201,1,"1004"
"18","1286","ANTHR","1201","002","Human Origin Evol/Diver","60","24","36",1201,2,"1004"
"20","2654","ANTHR","1201","020","Human Origin Evol/Diver","40","13","27",1201,20,"1004"
"22","2653","ANTHR","1201","070","Human Origin Evol/Diver","40","29","11",1201,70,"1004"
"24","13054","ANTHR","1201","090","Human Origin Evol/Diver","30","15","15",1201,90,"1004"
"26","1287","ANTHR","1301","001","Human Past","100","98","2",1301,1,"1004"
"28","1289","ANTHR","1301","002","Human Past","35","21","14",1301,2,"1004"
"30","1290","ANTHR","1401","001","Evolution Human Nature","100","40","60",1401,1,"1004"
"32","****","ANTHR","1401","050","This class has been cancelled","0","0","0",1401,50,"1004"
"34","12448","ANTHR","1401","070","Evolution Human Nature","40","8","32",1401,70,"1004"
"36","1293","ANTHR","2101","001","Human Heritage","50","46","4",2101,1,"1004"
"38","6279","ANTHR","2311","001","Archaeology","100","91","9",2311,1,"1004"
"40","1297","ANTHR","2411","001","Human Evolution","100","19","81",2411,1,"1004"
"42","12449","ANTHR","2411","020","Human Evolution","40","3","37",2411,20,"1004"
"44","11729","ANTHR","3151","001","Peoples Of The Pacific","50","22","28",3151,1,"1004"
"46","6282","ANTHR","3152","001","Australia/N Guinea Ethn","50","23","27",3152,1,"1004"
"48","6283","ANTHR","3211","001","Biology Native American","50","23","27",3211,1,"1004"
"50","6284","ANTHR","3313","001","Utah Prehistory","50","25","25",3313,1,"1004"
"52","12580","ANTHR","3321","001","Classic Maya","59","60","-1",3321,1,"1004"
"54","12859","ANTHR","3961","001","Brazilian Culture","30","27","3",3961,1,"1004"
"56","3618","ANTHR","3969","001","Women Ancient/Mod Mid E","40","11","29",3969,1,"1004"
"58","3619","ANTHR","3969","002","Text Languages Mid E","40","13","27",3969,2,"1004"
"60","3466","ANTHR","3969","003","Forensic Anthr","40","31","9",3969,3,"1004"
"62","12436","ANTHR","3969","004","Culture Poverty Film","40","23","17",3969,4,"1004"
"64","12441","ANTHR","3969","005","Disease/Space & Time","40","10","30",3969,5,"1004"
