"3","1035","SOC","1010","002","Intro To Sociology","200","200","0",1010,2,"1004"
"5","3003","SOC","1010","003","Intro To Sociology","60","69","-9",1010,3,"1004"
"7","13266","SOC","1010","010","Intro To Sociology","60","57","3",1010,10,"1004"
"9","1036","SOC","1020","001","Social Problems","60","70","-10",1020,1,"1004"
"11","1037","SOC","1020","002","Social Problems","60","57","3",1020,2,"1004"
"13","6173","SOC","1020","003","Social Problems","60","66","-6",1020,3,"1004"
"15","1038","SOC","3020","001","Social Psychology","60","60","0",3020,1,"1004"
"17","1040","SOC","3020","002","Social Psychology","60","60","0",3020,2,"1004"
"19","12836","SOC","3020","003","Social Psychology","60","53","7",3020,3,"1004"
"21","****","SOC","3020","070","This class has been cancelled","0","0","0",3020,70,"1004"
"23","1041","SOC","3030","001","Social Structure","60","52","8",3030,1,"1004"
"25","1042","SOC","3030","002","Social Structure","60","28","32",3030,2,"1004"
"27","11833","SOC","3030","010","Social Structure","60","23","37",3030,10,"1004"
"29","1045","SOC","3111","001","Research Methods","60","49","11",3111,1,"1004"
"31","1046","SOC","3111","002","Research Methods","60","55","5",3111,2,"1004"
"33","1047","SOC","3112","001","Social Statistics","40","32","8",3112,1,"1004"
"35","11834","SOC","3112","002","Social Statistics","40","10","30",3112,2,"1004"
"37","1049","SOC","3112","003","Social Statistics","40","22","18",3112,3,"1004"
"39","6174","SOC","3112","010","Social Statistics","40","35","5",3112,10,"1004"
"41","7319","SOC","3112","070","Social Statistics","40","45","-5",3112,70,"1004"
"43","1051","SOC","3140","001","Social Theory","60","63","-3",3140,1,"1004"
"45","1055","SOC","3140","002","Social Theory","60","20","40",3140,2,"1004"
"47","13264","SOC","3140","020","Social Theory","40","16","24",3140,20,"1004"
"49","3012","SOC","3334","001","American Class System","40","29","11",3334,1,"1004"
"51","2000","SOC","3337","001","Sociology Of Gender","40","64","-24",3337,1,"1004"
"53","11853","SOC","3337","020","Sociology Of Gender","30","28","2",3337,20,"1004"
"55","11855","SOC","3341","001","Social Inequality","60","42","18",3341,1,"1004"
"57","6175","SOC","3380","001","Race/Ethncty/Cls/Gender","99","95","4",3380,1,"1004"
"59","11858","SOC","3382","001","Gend Syst-Intntl Prsp","40","22","18",3382,1,"1004"
"61","12837","SOC","3422","001","Collective Beh/Soc Mvmt","60","26","34",3422,1,"1004"
"63","11861","SOC","3431","020","Social Change","40","8","32",3431,20,"1004"
"65","3014","SOC","3433","001","Formal Organizations","60","9","51",3433,1,"1004"
"67","8628","SOC","3438","001","Soc of Marriage & Fam","60","33","27",3438,1,"1004"
"69","2001","SOC","3438","070","Soc of Marriage & Fam","40","40","0",3438,70,"1004"
"71","11848","SOC","3471","020","Soc Of Health","40","24","16",3471,20,"1004"
"73","2002","SOC","3471","050","Soc Of Health","40","7","33",3471,50,"1004"
"75","6179","SOC","3472","001","Soc of Mental Health","60","63","-3",3472,1,"1004"
"77","6182","SOC","3473","001","Social Epidemiology","40","56","-16",3473,1,"1004"
"79","9224","SOC","3473","002","Social Epidemiology","40","38","2",3473,2,"1004"
"81","11862","SOC","3474","001","Mental Hlth Asian-Am","40","4","36",3474,1,"1004"
"83","12982","SOC","3560","001","Deviant Beh/Soc Control","60","59","1",3560,1,"1004"
"85","1061","SOC","3561","001","Criminology","60","55","5",3561,1,"1004"
"87","8481","SOC","3561","010","Criminology","60","59","1",3561,10,"1004"
"89","3581","SOC","3562","001","Juvenile Delinquency","99","101","-2",3562,1,"1004"
"91","13758","SOC","3563","010","Law Enf/Admin of Just","60","29","31",3563,10,"1004"
